"","State","date","price"
"433","Louisiana","2000-09-30",65927.7834156353
"434","Kentucky","2000-09-30",56899.8125175141
"435","Oregon","2000-09-30",106415.767229443
"436","Oklahoma","2000-09-30",32493.2375894943
"437","Connecticut","2000-09-30",116343.677874628
"438","Utah","2000-09-30",119636.975806033
"439","Iowa","2000-09-30",64855.5524887898
"440","Nevada","2000-09-30",110709.700654131
"441","Arkansas","2000-09-30",50329.2210290408
"442","Mississippi","2000-09-30",NA
"443","Kansas","2000-09-30",46496.2957335757
"444","New Mexico","2000-09-30",NA
"445","Nebraska","2000-09-30",67713.9984859032
"446","Idaho","2000-09-30",79745.4025950804
"447","West Virginia","2000-09-30",38418.4617516775
"448","Hawaii","2000-09-30",147353.963539978
"449","New Hampshire","2000-09-30",102303.923299622
"450","Maine","2000-09-30",86730.7191962151
"451","Rhode Island","2000-09-30",107816.590309594
"452","Montana","2000-09-30",NA
"453","Delaware","2000-09-30",100255.516186275
"454","South Dakota","2000-09-30",NA
"455","North Dakota","2000-09-30",NA
"456","Alaska","2000-09-30",96373.2399907753
"457","District of Columbia","2000-09-30",155400.216836827
"458","Vermont","2000-09-30",85915.958193103
"459","Wyoming","2000-09-30",NA
"460","California","2000-10-31",153187.223666833
"461","Texas","2000-10-31",58075.8365224111
"462","Florida","2000-10-31",76507.5440496964
"463","New York","2000-10-31",100603.553843743
"464","Pennsylvania","2000-10-31",66280.775054451
"465","Illinois","2000-10-31",81073.4414188378
"466","Ohio","2000-10-31",65856.3891838949
"467","Georgia","2000-10-31",69234.7461047317
"468","North Carolina","2000-10-31",78032.8341088003
"469","Michigan","2000-10-31",74423.7729973546
"470","New Jersey","2000-10-31",121802.19328123
"471","Virginia","2000-10-31",77773.742686379
"472","Washington","2000-10-31",129733.787099345
"473","Arizona","2000-10-31",107601.199129434
"474","Massachusetts","2000-10-31",157644.211490542
"475","Tennessee","2000-10-31",67864.5999684044
"476","Indiana","2000-10-31",55937.3283958315
"477","Maryland","2000-10-31",95871.2165183958
"478","Missouri","2000-10-31",57118.6556047023
"479","Wisconsin","2000-10-31",86684.8510675804
"480","Colorado","2000-10-31",131869.524481874
"481","Minnesota","2000-10-31",101297.40886812
"482","South Carolina","2000-10-31",75615.012822501
"483","Alabama","2000-10-31",55228.4600979208
"484","Louisiana","2000-10-31",66273.5074956976
"485","Kentucky","2000-10-31",57142.2006069193
"486","Oregon","2000-10-31",106793.915647316
"487","Oklahoma","2000-10-31",32622.7316691756
"488","Connecticut","2000-10-31",117400.359310928
"489","Utah","2000-10-31",120005.825530893
"490","Iowa","2000-10-31",65176.6870927731
"491","Nevada","2000-10-31",111133.944198485
"492","Arkansas","2000-10-31",50515.7724373893
"493","Mississippi","2000-10-31",NA
"494","Kansas","2000-10-31",46591.096751696
"495","New Mexico","2000-10-31",NA
"496","Nebraska","2000-10-31",67838.4956227309
"497","Idaho","2000-10-31",79992.0677350363
"498","West Virginia","2000-10-31",38619.1239099295
"499","Hawaii","2000-10-31",148357.506075762
"500","New Hampshire","2000-10-31",103660.776327471
"501","Maine","2000-10-31",87466.2023359897
"502","Rhode Island","2000-10-31",108707.81707747
"503","Montana","2000-10-31",NA
"504","Delaware","2000-10-31",100593.245060958
