"","State","date","price"
"588","Oregon","2000-12-31",155168.482402556
"589","Oklahoma","2000-12-31",75588.5661626793
"590","Connecticut","2000-12-31",183508.987380117
"591","Utah","2000-12-31",177671.232061447
"592","Iowa","2000-12-31",81678.2064668406
"593","Nevada","2000-12-31",170778.049487125
"594","Arkansas","2000-12-31",73269.973791021
"595","Mississippi","2000-12-31",72597.7352032976
"596","Kansas","2000-12-31",76565.5043526571
"597","New Mexico","2000-12-31",NA
"598","Nebraska","2000-12-31",112300.840573774
"599","Idaho","2000-12-31",122141.662676491
"600","West Virginia","2000-12-31",62931.143619126
"601","Hawaii","2000-12-31",217377.063495786
"602","New Hampshire","2000-12-31",149510.365441421
"603","Maine","2000-12-31",103516.551277934
"604","Rhode Island","2000-12-31",142901.96480207
"605","Montana","2000-12-31",NA
"606","Delaware","2000-12-31",144100.842518629
"607","South Dakota","2000-12-31",93895.5124589491
"608","North Dakota","2000-12-31",NA
"609","Alaska","2000-12-31",130622.361500997
"610","District of Columbia","2000-12-31",181397.062825726
"611","Vermont","2000-12-31",97009.080543343
"612","Wyoming","2000-12-31",NA
"613","California","2001-01-31",216861.359796708
"614","Texas","2001-01-31",109215.241153682
"615","Florida","2001-01-31",117717.575104763
"616","New York","2001-01-31",137222.710010256
"617","Pennsylvania","2001-01-31",95412.8855513182
"618","Illinois","2001-01-31",124298.617558324
"619","Ohio","2001-01-31",104338.634558597
"620","Georgia","2001-01-31",124923.708065935
"621","North Carolina","2001-01-31",127020.786193428
"622","Michigan","2001-01-31",108617.040355226
"623","New Jersey","2001-01-31",173413.964869104
